f1,f2,f3,f4,f5,f6,label
3000,3000,1,1,0,0,0
3001,3000,1,1,0,1001,0
3001,3000,0,0,0,2000,0
3000,3001,1,0,1001,1,0
3001,3001,1,0,1001,1000,0
3001,3001,0,0,1000,2000,0
3000,3001,1,0,2001,1,0
3001,3000,1,1,2001,1001,0
3000,3001,0,1,2000,2001,0
3000,3001,1,1001,1,0,0
3001,3001,1,1000,1,1001,0
3000,3000,0,1001,0,2001,0
3000,3001,0,1001,1000,1,0
3001,3000,0,1001,1001,1000,0
3001,3001,1,1000,1000,2001,0
3000,3000,0,1001,2000,1,0
3000,3000,1,1000,2000,1001,0
3000,3000,0,1000,2000,2001,0
3001,3001,1,2001,0,1,0
3000,3001,0,2001,1,1001,0
3000,3001,1,2000,0,2001,0
3000,3000,1,2001,1001,1,0
3001,3001,0,2001,1001,1000,0
3000,3000,1,2000,1001,2001,0
3001,3001,1,2001,2001,0,0
3000,3001,0,2001,2000,1000,0
3000,3000,1,2000,2001,2000,0
3001,3000,1001,1,0,0,0
3001,3000,1000,0,0,1001,0
3000,3001,1001,1,1,2000,0
3001,3001,1001,1,1001,1,0
3000,3001,1001,1,1001,1001,0
3001,3001,1001,0,1000,2001,0
3000,3000,1000,0,2000,0,0
3001,3000,1000,0,2001,1001,0
3000,3001,1000,0,2000,2001,0
3001,3000,1001,1001,1,0,0
3000,3000,1001,1001,0,1000,0
3001,3000,1000,1001,0,2000,0
3001,3000,1001,1001,1000,0,0
3000,3001,1001,1001,1001,1000,0
3000,3000,1000,1001,1001,2000,0
3000,3001,1000,1001,2001,1,0
3001,3000,1001,1001,2001,1000,0
3000,3000,1000,1001,2000,2000,0
3001,3000,1001,2001,1,0,0
3001,3000,1001,2001,1,1000,0
3001,3001,1000,2000,1,2001,0
3001,3000,1001,2000,1000,0,0
3000,3000,1000,2000,1001,1000,0
3001,3000,1001,2000,1001,2000,0
3001,3000,1000,2000,2000,0,0
3000,3001,1001,2000,2001,1000,0
3001,3000,1001,2000,2001,2001,0
3000,3001,2001,1,0,0,0
3001,3001,2000,0,1,1000,0
3001,3000,2000,1,0,2000,0
3001,3001,2000,1,1001,1,0
3001,3001,2000,0,1001,1001,0
3001,3000,2000,0,1001,2000,0
3000,3000,2001,1,2001,1,0
3001,3000,2001,1,2001,1000,0
3000,3001,2001,0,2000,2000,0
3001,3001,2001,1001,0,1,0
3000,3001,2001,1001,0,1000,0
3001,3000,2000,1001,1,2001,0
3000,3000,2001,1001,1000,1,0
3001,3000,2000,1000,1000,1000,0
3001,3001,2001,1000,1001,2001,0
3001,3001,2001,1000,2000,1,0
3000,3000,2001,1001,2001,1001,0
3000,3001,2001,1000,2000,2001,0
3001,3000,2001,2001,0,1,0
3001,3001,2001,2000,0,1000,0
3000,3001,2001,2001,0,2000,0
3000,3000,2000,2001,1001,1,0
3000,3000,2000,2000,1000,1000,0
3001,3001,2000,2001,1000,2001,0
3000,3001,2000,2001,2001,0,0
3001,3001,2000,2001,2000,1000,0
3001,3000,2000,2001,2000,2000,0
3000,3000,3000,0,0,0,0
3000,3000,3001,1,1,1001,0
3000,3001,3000,0,1,2001,0
3001,3000,3001,1,1001,1,0
3001,3000,3000,1,1001,1000,0
3001,3001,3000,1,1001,2001,0
3001,3000,3001,0,2001,0,0
3001,3001,3001,1,2001,1000,0
3001,3000,3001,0,2001,2000,0
3001,3000,3001,1001,0,0,0
3001,3001,3000,1000,1,1001,0
3001,3000,3001,1000,1,2000,0
3000,3000,3001,1001,1000,1,0
3000,3001,3001,1001,1001,1001,0
3001,3000,3001,1000,1000,2001,0
3001,3001,3001,1001,2001,0,0
3000,3000,3000,1000,2000,1001,0
3000,3000,3000,1000,2000,2000,0
3001,3000,3001,2000,1,0,0
3001,3000,3000,2001,1,1000,0
3000,3000,3000,2001,1,2001,0
3001,3001,3000,2000,1001,0,0
3001,3000,3001,2001,1000,1001,0
3001,3001,3001,2000,1001,2000,0
3000,3001,3000,2001,2000,1,0
3001,3000,3001,2001,2000,1000,0
3001,3001,3000,2001,2001,2001,0
3001,2001,1,0,0,1,0
3001,2000,0,0,0,1000,0
3000,2001,1,1,0,2001,0
3000,2001,1,0,1001,1,0
3000,2000,1,0,1001,1000,0
3000,2000,1,1,1001,2000,0
3001,2000,0,1,2001,0,0
3001,2001,1,0,2000,1001,0
3001,2001,1,1,2001,2000,0
3000,2001,0,1001,0,1,0
3000,2000,1,1001,1,1000,0
3001,2000,1,1001,0,2000,0
3000,2001,1,1001,1000,0,0
3001,2001,1,1000,1000,1000,0
3000,2001,1,1000,1000,2001,0
3001,2000,1,1000,2000,1,0
3001,2001,1,1000,2001,1001,0
3000,2001,1,1001,2000,2001,0
3001,2001,0,2000,1,1,0
3000,2001,0,2000,1,1000,0
3001,2000,1,2001,1,2001,0
3000,2000,0,2001,1000,1,0
3001,2000,0,2000,1001,1001,0
3001,2001,0,2001,1001,2000,0
3000,2000,1,2000,2000,1,0
3001,2001,1,2000,2000,1000,0
3001,2000,0,2001,2000,2000,0
3001,2001,1000,1,1,0,0
3000,2000,1001,1,1,1000,0
3001,2000,1000,0,0,2000,0
3001,2001,1000,1,1001,0,0
3001,2000,1001,0,1000,1001,0
3000,2001,1000,1,1000,2001,0
3001,2001,1001,0,2000,0,0
3000,2001,1000,1,2001,1001,0
3001,2001,1000,1,2000,2000,0
3000,2001,1000,1001,1,0,0
3000,2000,1001,1000,1,1000,0
3001,2000,1001,1000,0,2001,0
3000,2000,1000,1001,1001,1,0
3000,2001,1000,1000,1000,1000,0
3000,2000,1000,1001,1001,2001,0
3001,2001,1001,1001,2001,0,0
3001,2000,1000,1000,2000,1000,0
3001,2001,1001,1001,2000,2000,0
3000,2000,1001,2001,0,0,0
3001,2001,1000,2001,0,1000,0
3001,2001,1001,2000,0,2001,0
3001,2001,1001,2001,1001,0,0
3000,2000,1001,2001,1001,1001,0
3001,2000,1001,2001,1001,2001,0
3001,2000,1000,2001,2000,0,0
3001,2001,1000,2001,2001,1000,0
3000,2000,1000,2001,2000,2001,0
3001,2000,2000,0,1,1,0
3001,2000,2001,0,1,1000,0
3000,2000,2001,0,0,2001,0
3001,2001,2000,1,1000,1,0
3001,2000,2000,1,1000,1000,0
3001,2001,2000,1,1000,2001,0
3000,2001,2001,0,2000,1,0
3000,2000,2001,1,2000,1001,0
3000,2001,2001,0,2000,2001,0
3000,2000,2000,1000,1,0,0
3000,2000,2001,1000,1,1001,0
3001,2000,2001,1000,0,2001,0
3001,2000,2001,1001,1000,1,0
3000,2000,2001,1001,1001,1001,0
3001,2001,2001,1001,1001,2001,0
3001,2001,2001,1000,2001,1,0
3000,2000,2001,1001,2000,1001,0
3000,2000,2001,1001,2001,2001,0
3000,2001,2000,2001,1,1,0
3001,2000,2000,2000,1,1001,0
3001,2000,2000,2001,0,2001,0
3000,2000,2001,2001,1001,1,0
3000,2001,2001,2001,1000,1000,0
3001,2001,2000,2001,1000,2001,0
3000,2001,2001,2000,2000,0,0
3001,2001,2000,2001,2000,1000,0
3000,2000,2001,2001,2001,2000,0
3000,2001,3000,0,1,0,0
3000,2000,3001,0,1,1000,0
3001,2001,3001,0,1,2001,0
3000,2000,3001,0,1001,1,0
3001,2001,3000,0,1000,1001,0
3000,2000,3001,0,1000,2000,0
3001,2001,3000,0,2001,1,0
3000,2001,3000,0,2001,1001,0
3001,2000,3001,0,2000,2000,0
3000,2001,3001,1000,1,1,0
3001,2000,3001,1000,0,1000,0
3000,2001,3001,1000,0,2000,0
3001,2000,3001,1001,1000,1,0
3000,2000,3001,1001,1000,1001,0
3001,2000,3001,1000,1000,2000,0
3001,2000,3000,1001,2000,1,0
3001,2001,3000,1000,2001,1000,0
3000,2001,3001,1000,2000,2001,0
3001,2001,3001,2000,0,0,0
3001,2000,3000,2000,0,1001,0
3001,2000,3001,2001,1,2001,0
3000,2000,3000,2001,1000,0,0
3001,2000,3001,2000,1000,1001,0
3000,2001,3000,2001,1001,2001,0
3001,2001,3001,2000,2001,1,0
3001,2000,3001,2000,2000,1000,0
3001,2000,3000,2000,2001,2000,0
3000,1001,1,1,1,1,0
3000,1001,1,1,1,1000,0
3000,1000,1,1,0,2001,0
3000,1001,1,0,1001,1,0
3000,1001,0,1,1001,1001,0
3001,1001,0,0,1000,2000,0
3000,1000,1,1,2001,0,0
3001,1001,1,1,2000,1001,0
3000,1001,1,1,2001,2000,0
3001,1001,1,1001,0,0,0
3000,1000,1,1001,0,1001,0
3001,1000,0,1000,1,2001,1
3001,1001,1,1000,1000,1,0
3001,1000,0,1000,1001,1001,0
3001,1000,1,1000,1001,2001,1
3001,1000,1,1000,2001,0,0
3000,1000,0,1000,2000,1000,1
3001,1001,1,1000,2001,2001,1
3000,1001,1,2000,1,0,0
3000,1000,1,2001,1,1000,0
3000,1000,0,2000,0,2001,0
3000,1000,1,2000,1000,0,0
3000,1000,1,2001,1000,1001,0
3000,1000,0,2001,1001,2001,1
3000,1001,0,2001,2000,1,0
3001,1000,1,2000,2000,1001,1
3001,1000,0,2001,2001,2000,1
3001,1001,1000,0,1,1,0
3001,1001,1001,1,1,1000,0
3001,1001,1001,1,0,2001,0
3000,1001,1000,1,1001,0,0
3000,1001,1001,0,1000,1000,0
3001,1001,1001,1,1001,2000,0
3000,1001,1000,0,2000,1,0
3000,1001,1000,0,2000,1000,0
3001,1000,1001,1,2001,2001,0
3000,1000,1000,1001,0,0,0
3001,1001,1001,1000,1,1000,0
3001,1001,1001,1001,1,2000,1
3000,1000,1001,1000,1000,0,0
3000,1001,1000,1001,1001,1000,0
3000,1001,1000,1000,1000,2000,1
3000,1001,1000,1001,2001,1,0
3000,1000,1000,1001,2001,1000,1
3001,1001,1000,1001,2001,2000,1
3001,1001,1001,2001,1,0,0
3001,1001,1001,2001,0,1001,0
3000,1000,1000,2000,0,2000,1
3001,1000,1000,2001,1001,0,0
3001,1001,1001,2001,1000,1001,1
3001,1001,1000,2001,1000,2001,1
3001,1000,1001,2001,2001,1,0
3000,1001,1001,2001,2001,1001,1
3001,1000,1001,2001,2000,2001,1
3001,1001,2000,1,1,0,0
3000,1000,2001,0,1,1001,0
3000,1001,2001,1,0,2001,0
3000,1000,2000,1,1001,0,0
3001,1000,2000,0,1000,1000,0
3001,1001,2000,1,1000,2001,0
3001,1000,2001,0,2001,1,0
3000,1001,2000,1,2000,1000,0
3000,1000,2000,1,2001,2000,0
3001,1000,2000,1001,1,0,0
3000,1000,2000,1000,0,1000,0
3001,1001,2001,1000,0,2000,1
3001,1000,2001,1001,1001,1,0
3001,1000,2001,1000,1001,1000,1
3000,1000,2001,1000,1001,2000,1
3001,1001,2000,1001,2001,0,0
3001,1000,2000,1000,2001,1000,1
3000,1000,2000,1001,2000,2001,1
3000,1001,2001,2001,1,0,0
3000,1001,2000,2001,0,1000,0
3001,1001,2001,2001,0,2001,1
3000,1001,2001,2000,1000,0,0
3000,1000,2001,2000,1000,1001,1
3001,1000,2000,2001,1000,2000,1
3001,1000,2001,2000,2001,1,0
3000,1000,2000,2001,2001,1000,1
3000,1001,2000,2000,2001,2000,1
3000,1001,3000,1,1,0,0
3000,1001,3001,1,0,1001,0
3001,1001,3001,0,1,2000,0
3000,1001,3000,0,1001,1,0
3001,1001,3001,1,1001,1000,0
3001,1000,3000,1,1001,2001,0
3000,1000,3000,1,2001,0,0
3000,1000,3000,1,2000,1001,0
3001,1000,3001,1,2001,2000,0
3000,1000,3001,1001,1,1,0
3000,1000,3001,1000,1,1000,0
3001,1001,3000,1000,0,2001,1
3000,1000,3001,1000,1001,0,0
3000,1000,3000,1001,1001,1001,1
3001,1000,3001,1000,1001,2000,1
3001,1001,3000,1000,2001,0,0
3001,1001,3001,1001,2001,1000,1
3001,1001,3000,1000,2000,2000,1
3000,1000,3000,2001,1,0,0
3000,1000,3000,2000,0,1001,0
3000,1000,3001,2001,0,2000,1
3001,1001,3001,2000,1001,0,0
3000,1000,3000,2001,1000,1000,1
3001,1001,3000,2001,1000,2001,1
3001,1000,3001,2001,2000,1,0
3001,1001,3001,2000,2000,1000,1
3000,1001,3001,2000,2001,2000,1
3000,0,0,0,1,1,0
3000,0,0,0,1,1000,0
3001,1,0,0,0,2001,0
3000,1,0,1,1001,0,0
