f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,label
1514341,18446744073708990948,231400,18446744073708385313,1908522,806722,1031908,18446744073708893908,1221438,251009,361158,1842721,1010159,0
245597,18446744073709053607,18446744073708725949,18446744073707067775,18094,567048,731565,18446744073708733205,18446744073709008427,18446744073709259120,404908,1110317,962526,0
196325,21172,1106214,18446744073709283634,88110,806722,1212114,18446744073709054611,2129959,268263,317409,786369,1391224,0
1686791,18446744073709205781,486554,18446744073708744641,928300,2484437,1462399,18446744073708572503,1029251,1182732,18446744073709125275,1180741,2328007,0
294868,227053,1835226,450674,1278379,806722,661485,226158,400275,18446744073709233239,361158,448336,18446744073709513849,0
1477387,18446744073709035705,304301,18446744073708265537,858284,1557699,1362285,18446744073709376017,662349,729811,404908,335659,2232741,0
1711427,18446744073709134170,304301,18446744073708085873,18446744073709289647,327374,491291,18446744073709054611,679820,82781,273659,1363842,1724655,0
1304936,18446744073709384809,887510,18446744073708984193,1488427,487157,481280,18446744073709134962,18446744073708956013,18446744073709548126,448658,1363842,1740533,0
2253415,18446744073708928288,18446744073708835301,18446744073707906208,18446744073709359662,806722,951817,18446744073708974260,679820,61213,536158,335659,946649,0
1058578,18446744073708668698,18446744073709199806,18446744073708505089,18446744073709429678,1094330,1122011,18446744073708411800,452690,932547,229909,1321588,946649,0
1354208,18446744073709393760,18446744073709309158,18446744073709103970,368173,1046395,1292205,18446744073708411800,1378682,298458,1279908,786369,2423273,0
1378844,18446744073708785066,18446744073709382059,18446744073708744641,18446744073709219631,18446744073709399643,401188,18446744073708733205,18446744073709515102,18446744073709526559,929908,293405,1692900,0
923081,18446744073709008851,158499,18446744073708505089,18446744073708799536,487157,731565,18446744073708974260,382804,233755,842408,406082,1819921,0
2154872,18446744073709008851,85597,18446744073707127664,18446744073708939567,1286069,1662628,547563,2129959,147484,1279908,166643,1280080,0
1699109,18446744073709134170,49147,18446744073707307328,158126,1605634,1612571,18446744073708974260,2392033,1053326,1061158,546929,2540768,0
